Win Shares,Mins Played (per game),Player,Games,Year,Rank,Points(per game),WS/48,Box +/-,Value Overall Replacement Player,Team,College,Years,Mins Played (Total),Points (Total)
0.2,3.7,Tyler Lydon,26,2017,24,0.9,0.084,-2.6,0,UTA,Syracuse,2,96,23
-0.4,7.6,Caleb Swanigan,59,2017,26,2.1,-0.039,-6.6,-0.5,POR,Purdue,3,447,122
8,30.6,Kyle Kuzma,185,2017,27,16.5,0.068,-2,0,BRK,Utah,3,5665,3045
0,5.4,Justin Patton,9,2017,16,1.8,0.016,-4.1,0,CHI,Creighton,3,49,16
1.8,9.1,Tony Bradley,48,2017,28,3.8,0.201,0.1,0.2,LAL,UNC,3,437,184
8.3,22.4,OG Anunoby,189,2017,23,7.4,0.094,0.2,2.4,TOR,Indiana,3,4233,1406
4.8,19.9,Justin Jackson,192,2017,15,6.7,0.06,-2.7,-0.7,POR,UNC,3,3818,1289
-1.3,26.9,Dennis Smith,146,2017,9,13,-0.016,-2.7,-0.7,DAL,NC State,3,3927,1894
14.9,33.7,Donovan Mitchell,203,2017,13,22.7,0.104,1.1,5.3,DEN,Louisville,3,6850,4601
7.1,23.3,Luke Kennard,164,2017,12,9.8,0.089,-1.3,0.7,DET,Duke,3,3822,1613
0.7,16.6,Malik Monk,182,2017,11,8.2,0.011,-4.2,-1.6,CHO,Kentucky,3,3024,1488
3.7,17,Zach Collins,146,2017,10,5.7,0.071,-1.4,0.4,SAC,Gonzaga,3,2487,831
2.2,24.7,Markelle Fultz,80,2017,1,10.1,0.054,-2,0,PHI,Washington,3,1978,805
8.7,30.7,Lauri Markkanen,166,2017,7,16.2,0.082,-1.6,0.5,MIN,Arizona,3,5097,2697
6.7,26,Jonathan Isaac,134,2017,6,9.3,0.092,0.7,2.4,ORL,Florida State,3,3481,1249
7.4,30,De'Aaron Fox,184,2017,5,15.4,0.064,-0.7,1.8,SAC,Kentucky,3,5512,2835
-2.4,25.2,Josh Jackson,158,2017,4,12.3,-0.029,-4.6,-2.6,PHO,Kansas,3,3981,1938
15.8,31.4,Jayson Tatum,202,2017,3,16.2,0.12,0.4,3.8,BOS,Duke,3,6343,3278
4.8,32.1,Lonzo Ball,140,2017,2,10.6,0.051,0.9,3.3,LAL,UCLA,3,4490,1482
6.5,22.8,Derrick White,129,2017,29,9,0.106,0.7,2,SAS,Colorado,3,2937,1164
17.3,24.8,Bam Adebayo,198,2017,14,9.9,0.169,2.9,6,MIA,Kentucky,3,4902,1956
7.3,25.3,Josh Hart,172,2017,30,8.5,0.081,-0.4,1.8,UTA,Villanova,3,4360,1462
-0.2,9.3,Davon Reed,31,2017,32,2.4,-0.039,-6.3,-0.3,PHO,Miami (FL),2,289,75
0.3,16.8,Frank Jackson,101,2017,31,7.2,0.009,-5.5,-1.5,CHO,Duke,2,1695,725
0.3,16.3,Jaron Blossomgame,27,2017,59,4.2,0.03,-4.5,-0.3,SAS,Clemson,1,439,114
0.2,8.8,Jabari Bird,13,2017,56,3,0.098,-2.1,0,BOS,California,1,115,39
0,3.1,Nigel Williams-Goss,9,2017,55,0.4,-0.037,-4.2,0,UTA,Gonzaga,1,28,4
0.3,11.3,Alec Peters,20,2017,54,4.1,0.055,-3.3,-0.1,PHO,Valparaiso,1,225,82
0.9,13.5,Kadeem Allen,46,2017,53,5.5,0.071,-2.5,-0.1,BOS,Arizona,3,619,252
8.8,22.2,Monte Morris,134,2017,51,9.3,0.141,-0.5,1.1,DEN,Iowa State,3,2980,1248
1,10.7,Sindarius Thornwell,137,2017,48,2.5,0.034,-2.1,0,MIL,South Carolina,2,1469,344
0,2.6,Ike Anigbogu,14,2017,47,0.9,0.057,-6.8,0,IND,UCLA,2,36,13
0.4,11,Edmond Sumner,43,2017,52,3.6,0.041,-2.6,-0.1,NOP,Xavier,3,472,154
2.6,27.3,Dillon Brooks,149,2017,45,12.2,0.031,-3.1,-1.1,HOU,Oregon,3,4065,1824
3.6,15.9,Sterling Brown,145,2017,46,5.2,0.075,-2.6,-0.4,PHI,SMU,3,2307,757
0.8,15.3,Frank Mason,94,2017,34,6.5,0.028,-3.8,-0.6,SAC,Kansas,3,1437,613
3.2,14.6,Ivan Rabb,85,2017,35,5.7,0.125,-1,0.3,ORL,California,2,1237,485
3.1,13.9,Semi Ojeleye,174,2017,37,3,0.061,-3.1,-0.7,BOS,SMU,3,2419,514
4.9,12.1,Jordan Bell,150,2017,38,3.8,0.128,1.1,1.4,CHI,Oregon,3,1818,564
3.5,17.5,Wesley Iwundu,164,2017,33,4.5,0.059,-2.9,-0.6,ORL,Kansas State,3,2873,742
0.4,16,Dwayne Bacon,132,2017,40,5.4,0.01,-5.5,-1.9,NOP,Florida State,3,2116,713
1,16.1,Tyler Dorsey,104,2017,41,6.7,0.03,-4.1,-0.9,ATL,Oregon,2,1672,701
7.4,19.8,Thomas Bryant,114,2017,42,9.9,0.158,1.2,1.8,UTA,Indiana,3,2252,1125
2.9,20.2,Damyean Dotson,159,2017,44,7.8,0.044,-2.6,-0.5,NYK,Oregon,3,3211,1246
-0.4,15.1,Jawun Evans,56,2017,39,4.2,-0.022,-5.2,-0.7,PHI,Oklahoma State,2,843,237
3.2,22.4,Bruce Brown,121,2018,42,6,0.056,-1.3,0.5,DET,Miami (FL),2,2714,724
0,4.1,Jarred Vanderbilt,24,2018,41,1.2,-0.021,-6,-0.1,ORL,Kentucky,2,98,28
0,7.2,Khyri Thomas,28,2018,38,2.2,0.006,-5.3,-0.2,PHI,Creighton,2,201,62
-0.1,4,Melvin Frazier,23,2018,35,1.4,-0.043,-7.7,-0.1,ORL,Tulane,2,91,33
3,25.1,Devonte' Graham,94,2018,34,11.6,0.061,-1.2,0.5,ATL,Kansas,2,2363,1089
4.5,19.9,Jalen Brunson,121,2018,33,8.6,0.089,-2.2,-0.1,DAL,Villanova,2,2404,1041
0.4,14.2,Jevon Carter,72,2018,32,4.1,0.021,-2.8,-0.2,MEM,West Virginia,2,1019,292
,,Justin Jackson,,2018,43,,,,,DEN,Maryland,,,
0.7,13.7,Gary Trent,51,2018,37,4.9,0.048,-2.8,-0.1,SAC,Duke,2,697,252
1.6,18.9,De'Anthony Melton,86,2018,46,6.3,0.048,-0.8,0.5,HOU,USC,2,1628,541
1.4,16.4,Sviatoslav Mykhailiuk,87,2018,47,6.1,0.049,-2.7,-0.3,LAL,Kansas,2,1424,530
1.5,17.4,Keita Bates-Diop,65,2018,48,6.2,0.063,-2.6,-0.2,MIN,Ohio State,2,1133,400
-0.1,4.8,Chimezie Metu,42,2018,49,2.1,-0.013,-6.4,-0.2,SAS,USC,2,203,87
0.2,4.4,Alize Johnson,25,2018,50,1.2,0.077,-6.7,-0.1,IND,Missouri State,2,110,31
,,Tony Carr,,2018,51,,,,,NOP,Penn State,,,
0,8,Vince Edwards,2,2018,52,1.5,-0.014,-9.8,0,UTA,Purdue,1,16,3
0,4,Devon Hall,5,2018,53,1,-0.059,-11.5,0,OKC,Virginia,1,20,5
0.7,13.3,Shake Milton,36,2018,54,5.2,0.069,-2.9,-0.1,DAL,SMU,2,478,188
0.2,10.6,Ray Spalding,14,2018,56,3.9,0.051,-3.4,-0.1,PHI,Louisville,1,148,54
-0.1,2.2,Kevin Hervey,6,2018,57,0,-0.357,-17,0,OKC,UT Arlington,1,13,0
0.1,3.3,Thomas Welsh,11,2018,58,1.6,0.162,-2.6,0,DEN,UCLA,1,36,18
1,13.7,Hamidou Diallo,81,2018,45,4.8,0.041,-4.7,-0.8,BRK,Kentucky,2,1112,389
2.6,17.7,Omari Spellman,92,2018,30,6.8,0.076,-1.2,0.3,ATL,Villanova,2,1628,625
0,3.2,Kostas Antetokounmpo,5,2018,60,0.4,-0.128,-10.4,0,PHI,Dayton,2,16,2
-0.7,10.3,Jacob Evans,54,2018,28,2.7,-0.06,-8,-0.8,GSW,Cincinnati,2,555,147
7.5,31.1,Deandre Ayton,89,2018,1,16.6,0.131,0.2,1.5,PHO,Arizona,2,2772,1479
4,25.3,Marvin Bagley,75,2018,2,14.8,0.101,-2.5,-0.2,SAC,Duke,2,1901,1108
6,27,Jaren Jackson,105,2018,4,15.5,0.102,0.5,1.8,MEM,Michigan State,2,2833,1628
7.8,32.4,Trae Young,125,2018,5,22.8,0.093,1.4,3.5,DAL,Oklahoma,2,4046,2844
3.4,15.8,Mohamed Bamba,91,2018,6,5.8,0.112,0.4,0.9,ORL,Texas,2,1440,532
5.1,27.4,Wendell Carter,81,2018,7,11,0.111,-0.3,0.9,CHI,Duke,2,2219,888
0.8,31.9,Collin Sexton,131,2018,8,17.8,0.009,-4.4,-2.5,CLE,Alabama,2,4175,2329
-0.9,24.9,Kevin Knox,123,2018,9,10.6,-0.014,-5.3,-2.6,NYK,Kentucky,2,3058,1304
5.6,27.6,Mikal Bridges,130,2018,10,8,0.075,0.3,2.1,PHI,Villanova,2,3593,1042
7.4,29.9,Shai Gilgeous-Alexander,132,2018,11,14.1,0.09,-0.1,1.9,CHO,Kentucky,2,3950,1858
4,24.5,Miles Bridges,128,2018,12,9.2,0.062,-1.4,0.5,LAC,Michigan State,2,3139,1182
0,10.8,Jerome Robinson,73,2018,13,3.2,0.002,-4.4,-0.5,LAC,Boston College,2,792,234
1.9,14.3,Michael Porter,39,2018,14,8,0.168,0.6,0.4,DEN,Missouri,1,556,311
2.3,19.6,Troy Brown,96,2018,15,7.5,0.058,-2.1,-0.1,WAS,Oregon,2,1884,716
0.1,14.7,Zhaire Smith,9,2018,16,4.9,0.025,-4.7,-0.1,PHO,Texas Tech,2,132,44
3.7,19.8,Donte DiVincenzo,70,2018,17,7.4,0.129,1.4,1.2,MIL,Villanova,2,1389,518
0.4,10.9,Lonnie Walker,56,2018,18,4.8,0.033,-4.7,-0.4,SAS,Miami (FL),2,613,270
2.5,27.8,Kevin Huerter,113,2018,19,10.3,0.038,-1.7,0.2,ATL,Maryland,2,3140,1161
2.4,23.8,Josh Okogie,119,2018,20,7.8,0.041,-1.6,0.3,MIN,Georgia Tech,2,2838,929
0.6,13.4,Grayson Allen,68,2018,21,6.4,0.033,-5,-0.7,UTA,Duke,2,914,432
1.3,19.2,Chandler Hutchison,68,2018,22,5.9,0.049,-3.8,-0.6,CHI,Boise State,2,1303,400
2.7,17.9,Aaron Holiday,95,2018,23,8,0.076,-1.7,0.1,IND,UCLA,2,1698,760
1.2,13.7,Moritz Wagner,64,2018,25,7,0.066,-2.4,-0.1,LAL,Michigan,2,875,451
5.4,24.4,Landry Shamet,110,2018,26,9.4,0.097,-0.7,0.9,PHI,Wichita State,2,2679,1036
2.3,10.8,Robert Williams,51,2018,27,3,0.199,5,1,BOS,Texas A&M,2,552,155
0,6,George King,1,2018,59,0,-0.001,-10.6,0,PHO,Colorado,1,6,0
